,Purchase Price,Sell Price,Time
0,74.980,76.980,10/06/2024 08:07:20
1,74.980,76.980,11/06/2024 08:07:47
2,74.980,76.980,12/06/2024 08:13:18
3,74.980,76.980,13/06/2024 08:10:12
4,74.980,76.980,14/06/2024 08:16:44
5,74.980,76.980,15/06/2024 08:09:01
6,74.980,76.980,17/06/2024 08:13:04
